"Authors","Author full names","Author(s) ID","Titles","Year","Source title","DOI","Cited by","Link","Abstract","Author Keywords","Document Type","Source"
"Molina T.; Ortega J.; Muñoz J.","Molina, Tulio (57213590500); Ortega, Juan (57213939946); Muñoz, Juan (35368813300)","57213590500; 57213939946; 35368813300","HELMpy, Open Source Package of Power Flow Solvers, Including the Holomorphic Embedding Load Flow Method (HELM), Developed on Python 3","2021","Journal of Open Research Software","10.5334/jors.310","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117961167&doi=10.5334%2fjors.310&partnerID=40&md5=7715321afae22cc6bc62e2dc68e71c15","HELMpy is an open source software for power flow solution developed on Python 3. Specifically, two algorithms for power flow solution are implemented in this software: a Holomorphic Embedding Load-flow Method (HELM), and a Newton-Raphson (NR) based power flow method, using either a classical single slack bus model or a distributed slack bus model. HELMpy is aimed at supporting academic research, emphasizing on the development of open source software related to the HELM. To ease the comprehension and modification of HELMpy’s code, it is properly commented and structured as a group of Python modules. These modules are composed of sets of functions used for solving the power flow problem according to the previously mentioned algorithms. HELMpy is distributed under the GNU Affero General Public License v3.0 or later and it is available on GitHub. (https://github.com/HELMpy/HELMpy) © 2021. The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License (CC-BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. See http://creativecommons.org/licenses/by/4.0/.","Distributed slack bus; HELM; Newton Raphson method; Power flow","Article","Scopus"
"Medappa P.K.; Srivastava S.C.","Medappa, Poonacha K. (57194237464); Srivastava, Shirish C. (22938941000)","57194237464; 22938941000","Ideological shifts in open source orchestration: examining the influence of licence choice and organisational participation on open source project outcomes","2020","European Journal of Information Systems","10.1080/0960085X.2020.1756003","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087124045&doi=10.1080%2f0960085X.2020.1756003&partnerID=40&md5=f254a03e6172232537999986893dce76","Though volunteer-driven Free (Libre) and Open Source Software (FLOSS) development were founded on the ideological beliefs of “openness” and “absence of any commercial appropriation”, in recent years, FLOSS movement has witnessed two ideological shifts. First, the emergence of “permissive FLOSS licences” that allow commercial appropriation of the collaboratively developed code, and second, “organisational ownership” of FLOSS projects. Because ideological beliefs shape the motivational needs of the volunteer contributors, and motivational needs influence the dominant work structures, it is expected that ideological shifts could influence the mechanisms through which work is orchestrated in FLOSS projects. Motivated by the need to understand the impact of these ideological shifts, we theorise the mechanisms through which the two ideological shifts alter the influence of FLOSS work structures on project outcomes of popularity and survival. Adopting an instrument variable approach, our analysis of projects hosted on GitHub confirms the significance of both the ideological shifts with some interesting contextual differences across the two project outcomes. Specifically, we find that the ideological shift pertaining to licence type has a significant influence on both the examined project outcomes, whereas organisational ownership has a significant influence only on the popularity of FLOSS projects. © Operational Research Society 2020.","ideologies; instrument variable; licence; Likoebe Maruping and Sabine Matook; Open source software; structures of work; superposition","Article","Scopus"
"Baumann J.M.; Dilsavor R.; Stubbles J.; Mossing J.","Baumann, James M. (7101865746); Dilsavor, Ronald (6603229284); Stubbles, James (7003589668); Mossing, John (6602723774)","7101865746; 6603229284; 7003589668; 6602723774","Open source tools for ATR development and performance evaluation","2002","Proceedings of SPIE-The International Society for Optical Engineering","10.1117/12.477019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036033157&doi=10.1117%2f12.477019&partnerID=40&md5=93278d9c80220883dbd7cec8f08a60a8","Early in almost every engineering project, a decision must be made about tools; should I buy off-the-shelf tools or should I develop my own. Either choice can involve significant cost and risk. Off-the-shelf tools may be readily available, but they can be expensive to purchase and to maintain licenses, and may not be flexible enough to satisfy all project requirements. On the other hand, developing new tools permits great flexibility, but it can be time-(and budget-) consuming, and the end product still may not work as intended. Open source software has the advantages of both approaches without many of the pitfalls. This paper examines the concept of open source software, including its history, unique culture, and informal yet closely followed conventions. These characteristics influence the quality and quantity of software available, and ultimately its suitability for serious ATR development work. We give an example where Python, an open source scripting language, and OpenEV, a viewing and analysis tool for geospatial data, have been incorporated into ATR performance evaluation projects. While this case highlights the successful use of open source tools, we also offer important insight into risks associated with this approach. © 2002 SPIE · 0277-786X/02/$15.00.","Image viewer; Open source; OpenEV; Software","Article","Scopus"
"Legenvre H.; Kauttu P.; Bos M.; Khawand R.","Legenvre, Hervé (57190956746); Kauttu, Pietari (57218142555); Bos, Martin (57196051253); Khawand, Roger (57218142878)","57190956746; 57218142555; 57196051253; 57218142878","Is Open Hardware Worthwhile? Learning from Thales’ Experience with RISC-V","2020","Research Technology Management","10.1080/08956308.2020.1762445","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088008940&doi=10.1080%2f08956308.2020.1762445&partnerID=40&md5=8595b16bd8bddfd39b112f33c36a5519","Overview: In this article we frame the concept of a hardware-rich open source ecosystem (H-ROSE) that generates software and hardware components. In an H-ROSE, the designs of some components are accessible under open source licenses, while other component designs remain proprietary. We describe seven adoption factors used by the multinational French firm Thales to assess the efficacy of RISC-V to design processors. Other companies can use these adoption factors to explore whether an open hardware initiative supported by an H-ROSE is worthwhile. © 2020, Copyright © 2020, Innovation Research Interchange.","Adoption factors; Ecosystems; H-ROSE; Open source; RISC-V","Article","Scopus"
"Belenzon S.; Schankerman M.","Belenzon, Sharon (26634880300); Schankerman, Mark (6603557603)","26634880300; 6603557603","Motivation and sorting of human capital in open innovation","2015","Strategic Management Journal","10.1002/smj.2284","48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928588287&doi=10.1002%2fsmj.2284&partnerID=40&md5=57ecd6e50bb3d1c23d7adeb50d451a9f","This paper studies how business models can be designed to tap effectively into open innovation labor markets with heterogeneously motivated workers. Using data on open source software, we show that motivations are diverse, and demonstrate how managers can strategically influence the flow of code contributions and their impact on project performance. Unlike previous literature using survey data, we exploit the observed pattern of project membership and code contributions - the ""revealed preference"" of developers - to infer the motivations driving their decision to contribute. Developers strongly sort along key dimensions of the business model chosen by project managers, especially the degree of openness of the project license. The results indicate an important role for intrinsic motivation, reputation, and labor market signaling, and a more limited role for reciprocity. Copyright © 2014 John Wiley & Sons, Ltd.","intellectual property rights; motivations; open innovation; open source; sorting; strategic human capital","Article","Scopus"
"Yao E.; Buels R.; Stein L.; Sen T.Z.; Holmes I.","Yao, Eric (57188820177); Buels, Robert (8949007700); Stein, Lincoln (7202575097); Sen, Taner Z. (7006797407); Holmes, Ian (57197575337)","57188820177; 8949007700; 7202575097; 7006797407; 57197575337","JBrowse Connect: A server API to connect JBrowse instances and users","2020","PLoS Computational Biology","10.1371/journal.pcbi.1007261","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090796337&doi=10.1371%2fjournal.pcbi.1007261&partnerID=40&md5=a5500220109eb815266b99f8236c782d","We describe JBrowse Connect, an optional expansion to the JBrowse genome browser, targeted at developers. JBrowse Connect allows live messaging, notifications for new annotation tracks, heavy-duty analyses initiated by the user from within the browser, and other dynamic features. We present example applications of JBrowse Connect that allow users 1) to specify and execute BLAST searches by either running on the same host as the webserver, with a self-contained BLAST module leveraging NCBI Blast+ commands, or via a managed Galaxy instance that can optionally run on a different host, and 2) to run the primer design service Primer3. JBrowse Connect allows users to track job progress and view results in the context of the browser. The software is available under a choice of open source licenses including LGPL and the Artistic License. This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication.","","Article","Scopus"
"Nagy D.; Yassin A.M.; Bhattacherjee A.","Nagy, Del (35727231100); Yassin, Areej M. (35727406800); Bhattacherjee, Anol (7006737091)","35727231100; 35727406800; 7006737091","Organizational adoption of open source software: Barriers and remedies","2010","Communications of the ACM","10.1145/1666420.1666457","70","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649243015&doi=10.1145%2f1666420.1666457&partnerID=40&md5=9d295b91f5f39b27e392318b7be76a79","Introduction Perhaps the business case for adopting open source software is an easy sell. After all, the software is free, and can be simply downloaded from the Internet and installed or customized as needed. Organizations interested in reducing the licensing fees of proprietary software, while also avoiding the penalties and legal liabilities associated with their illegal use, can definitely consider open source software a plausible alternative. However, less obvious than the cost savings but equally important are the barriers (""hidden costs"") of adopting open source software. Open source software has created considerable excitement in the business world over the last decade. These applications, designed by groups of volunteer software developers, have the potential to break the current dominance of proprietary software and restrictive licenses for many business applications, reduce software development time and improve software quality, and most importantly, bring much needed software applications within the reach of individuals and small businesses, who cannot otherwise afford such software. Further, unlike proprietary software, open source software applications make their source code available for free, which can be customized to fit the unique needs of specific organizations. Many organizations have caught on to open source software and realized significant cost savings in technology expenditure as a result. For instance, Cendant Travel Distribution Services replaced a $100 million mainframe system with a $2.5 million system running on 144 Linux servers. Amazon.com cut its technology expenditure from $71 million to $54 million by switching to open source applications. Sabre Holdings saved tens of millions of dollars by adopting MySQL, an open source database product. Though the basic open source software is free, the prospect of paid ancillary products and services such as hardware and consulting has motivated many erstwhile proprietary technology vendors such as Hewlett-Packard, IBM, and Sun Microsystems to embrace open source software and offer value-added services based on such software. Table 1 shows an estimated range of the current global market share of several of today's open source software applications. This table shows that though the open source market is large and growing for some application domains such as Web server (such as Apache), server operating systems (such as Linux Server), database server (such as MySQL), electronic mail client (such as Sendmail), and Internet browser (such as Firefox), it is lagging behind its proprietary counterparts in other domains such as client operating systems (such as Linux Workstation), office productivity software (such as OpenOffice), and enterprise resource planning (ERP) systems. This pattern suggests that there may be significant barriers to open source software adoption among some sectors of the user populations. It is widely believed that proprietary software vendors often use fear, uncertainty and doubt to undermine and cut the market potential of their open source competitors. The objective of this paper is to reduce that uncertainty via a candid discussion of the barriers confronting open source software adoption and potential remedies to those barriers. These barriers and their remedies, summarized in Table 2, are discussed in detail. © 2010 ACM.","","Article","Scopus"
"QIU S.; GERMAN D.M.; INOUE K.","QIU, Shi (57205073835); GERMAN, Daniel M. (57207886015); INOUE, Katsuro (7601540520)","57205073835; 57207886015; 7601540520","An exploratory study of copyright inconsistency in the linux kernel","2021","IEICE Transactions on Information and Systems","10.1587/transinf.2020EDP7107","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100728417&doi=10.1587%2ftransinf.2020EDP7107&partnerID=40&md5=6a4f8a8e8626e518928647d87f8ab15e","Software copyright claims an exclusive right for the software copyright owner to determine whether and under what conditions others can modify, reuse, or redistribute this software. For Free and Open Source Software (FOSS), it is very important to identify the copyright owner who can control those activities with license compliance. Copyright notice is a few sentences mostly placed in the header part of a source file as a comment or in a license document in a FOSS project, and it is an important clue to establish the ownership of a FOSS project. Repositories of FOSS projects contain rich and varied information on the development including the source code contributors who are also an important clue to establish the ownership. In this paper, as a first step of understanding copyright owner, we will explore the situation of the software copyright in the Linux kernel, a typical example of FOSS, by analyzing and comparing two kinds of datasets, copyright notices in source files and source code contributors in the software repositories. The discrepancy between two kinds of analysis results is defined as copyright inconsistency. The analysis result has indicated that copyright inconsistencies are prevalent in the Linux kernel. We have also found that code reuse, affiliation change, refactoring, support function, and others' contributions potentially have impacts on the occurrence of the copyright inconsistencies in the Linux kernel. This study exposes the difficulty in managing software copyright in FOSS, highlighting the usefulness of future work to address software copyright problems. © 2021 The Institute of Electronics.","Mining software repositories; Open source software; Software copyright; Software maintenance","Article","Scopus"
"Harp S.; Carpenter T.; Hatcliff J.","Harp, Steven (26643340100); Carpenter, Todd (57195517828); Hatcliff, John (57204342409)","26643340100; 57195517828; 57204342409","A reference architecture for secure medical devices","2018","Biomedical Instrumentation and Technology","10.2345/0899-8205-52.5.357","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054587990&doi=10.2345%2f0899-8205-52.5.357&partnerID=40&md5=d367fd759ea2866f366d549d4cb38c3e","We propose a reference architecture aimed at supporting the safety and security of medical devices. The ISOSCELES (Intrinsically Secure, Open, and Safe Cyber-Physically Enabled, Life-Critical Essential Services) architecture is justified by a collection of design principles that leverage recent advances in software component isolation based on hypervisor and other separation technologies. The instantiation of the architecture for particular medical devices is supported by a development process based on Architecture Analysis and Design Language. The architecture models support safety and security analysis as part of a broader risk management framework. The models also can be used to derive skeletons of the device software and to configure the platform's separation policies and an extensive set of services. We are developing prototypes of the architecture and example medical device instantiations on low-cost boards that can be used in product solutions. The prototype and supporting development and assurance artifacts are being released under an open-source license. © 2018 AAMI.","","Article","Scopus"
"Feller J.; Finnegan P.; Hayes J.","Feller, Joseph (7005159947); Finnegan, Patrick (57201518771); Hayes, Jeremy (57199470849)","7005159947; 57201518771; 57199470849","Delivering the 'whole product': Business model impacts and agility challenges in a network of open source firms","2008","Journal of Database Management","10.4018/jdm.2008040105","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50549094975&doi=10.4018%2fjdm.2008040105&partnerID=40&md5=fbaf442256f663f6817f4ac473626c84","It has been argued that competitive necessities will increasingly require OSS companies to participate in cooperative business networks in order to offer the complete product/service (whole product) demanded by customers. It is envisaged that these business networks will enhance the business models of participant firms by supplementing their value-adding activities and increasing responsiveness to customers. However, while such propositions have intuitive appeal, there is a lack of empirical research on such networks. This article examines Zea Partners, a network of small open source companies cooperating to deliver the 'whole product' in the area of content management systems (CMSs). It investigates how participation in the network augments the business models of participant companies and identifies the business agility challenges faced by the network. The article concludes that reconciling the coordination needs of OSS networks with the operational practices of participant firms is a critical issue if such networks are to achieve adaptive efficiency to deliver whole products in a 'bazaar-friendly' manner. Copyright © 2008, IGI Global.","Agility; Business models; Business networks; Open source software","Article","Scopus"
"Piva E.; Rossi-Lamastra C.","Piva, Evila (12753610200); Rossi-Lamastra, Cristina (57197758938)","12753610200; 57197758938","The license choices of SMEs doing business with open source software: Empirical evidence on italian firms","2012","International Journal of Open Source Software and Processes","10.4018/jossp.2012010102","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875288249&doi=10.4018%2fjossp.2012010102&partnerID=40&md5=252ae94c174f13c8c61f1e8b99539e66","In the past decade, Open Source (OS) licenses have attracted the interest of many scholars. However, there is still a limited understanding of the license choices made by small and medium enterprises doing business with OS (OS SMEs). The present paper aims at filling this gap. The authors argue that, because of firm specificities, OS SMEs tend to prefer copyleft licenses. Their arguments are corroborated by empirical evidence from a survey on 146 Italian OS SMEs. This evidence documents that OS SMEs are not plagued by the GPL fear theorized by the OS founding fathers. Conversely, these firms use copyleft licenses to more easily in-source knowledge from the community of OS users and developers. At the same time, license choices are influenced by the ideological motivations that OS SMEs inherit from their owner-managers. Copyright © 2012, IGI Global.","Copyleft; Intellectual property rights; Licenses; Open source; Small and medium enterprises (SMEs)","Article","Scopus"
"Cocco L.; Concas G.; Marchesi M.","Cocco, Luisanna (37861007600); Concas, Giulio (57105938400); Marchesi, Michele (7005947166)","37861007600; 57105938400; 7005947166","Simulation of the on demand software model, including vendors offering source code availability","2014","International Journal of Modelling and Simulation","10.2316/Journal.205.2014.3.205-5896","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923873985&doi=10.2316%2fJournal.205.2014.3.205-5896&partnerID=40&md5=24b05d4f4affbc242966d10cd0cc9de7","In recent years, the power balance between software firms and enterprise customers has been heavily changing. The contractual power of customers is increasing and the firms must take this fact into account. Stated the common need to save money, the opportunities to adopt new software solutions with tight budgets, or with substantial savings, are limited. The better way to obtain operational savings seems to be shifting to the use of open source software, obtaining in this way all the benefits of this software typology: lower costs, greater adherence to open standards, a broader vendor choice and service suppliers, no vendor lock-in and flexible, incremental architectures. In this work, a business model is proposed to analyse the competition among on-demand customer relationship management (CRM) firms, in particular among firms offering CRM products with or without source code availability. The model can also be customized to study other kinds of markets, and other assumptions can be made for studying their implications to the software business.","Free/libre open source software; Market strategy; Software business; Software market simulation","Article","Scopus"
