"Authors","Author full names","Author(s) ID","Titles","Year","Source title","DOI","Cited by","Link","Abstract","Author Keywords","Document Type","Source"
"Yifeng N.C.; Tjosvold D.; Peiguan W.","Yifeng, Nancy Chen (26662345700); Tjosvold, Dean (7003755118); Peiguan, Wu (23028495100)","26662345700; 7003755118; 23028495100","Effects of warm-heartedness and reward distribution on negotiation","2008","Group Decision and Negotiation","10.1007/s10726-007-9088-4","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749099363&doi=10.1007%2fs10726-007-9088-4&partnerID=40&md5=b80550bc98814ca1c0286fe97b75a32a","Research is needed to identify the conditions and dynamics by which foreign managers and local employees can negotiate their differences integratively. In an experiment with 120 participants in South China, employees with foreign managers who communicated warm-heartedness, compared to indifference, indicated that they had cooperative goals, a quality relationship, were confident in future collaboration, and concluded that their manager was an effective leader. Employees with foreign managers who structured mutual rather than independent or comparative rewards found their manager's ideas reasonable and integrated them into their decisions. Results, especially if they can be replicated in field settings, suggest how foreign managers can negotiate effectively and develop their relationships with Chinese employees. © 2007 Springer Science + Business Media B.V.","Negotiation cross-cultural; Reward distribution; Warm-heartedness","Article","Scopus"
"Albers H.-H.; Suwala L.","Albers, Hans-Hermann (57222896431); Suwala, Lech (35281389500)","57222896431; 35281389500","Place leadership and corporate spatial responsibilities","2021","Handbook on City and Regional Leadership","","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129617724&partnerID=40&md5=580dc8b2d45b642bc9e89ddcb58eda90","The management of urban and rural areas has always consisted of a mixture of state, market and civil society actors. In times of increased liberalization, deregulation and privatization of many former state-dominated tasks, limited institutional capabilities of smaller communities, a lack of consolidated government bodies and low effectiveness of authorities, there exists a greater interest for non-state ‘place-based’ economic engagement in general, and for private-sector involvement and leadership in regional governance in particular. This chapter introduces approaches to enterprise-driven urban and regional engagement. Empirically, the chapter summarizes existing case studies from the literature on enterprise-driven urban and regional engagement and asks if and how place leadership initiatives interact with corporate social responsibilities. In conclusion, the chapter suggests it is desirable to explicitly include the private sector in place leadership roundtables in order to create tri-sectoral negotiations. © Markku Sotarauta and Andrew Beer 2021.","","Book chapter","Scopus"
"Duignan P.A.; Macpherson R.J.S.","Duignan, P.A. (39061157100); Macpherson, R.J.S. (57205912663)","39061157100; 57205912663","The Educative Leadership Project","1987","Educational Management Administration & Leadership","10.1177/174114328701500108","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957958241&doi=10.1177%2f174114328701500108&partnerID=40&md5=984c4beb5862f33ffa44323aed22fe73","‘The wisest approach to leadership in education’ is to be ‘educative in intent and outcome’; from this precept a joint in-service training and postgraduate materials production programme is developed. It is shaped by an approach to organisations as cultures, involving negotiation about what is real and what is right. © 1987, Sage Publications. All rights reserved.","","Article","Scopus"
"Jones D.","Jones, Deborah (8642599800)","8642599800","Constructing identities: Female head teachers’ perceptions and experiences in the primary sector","2017","Educational Management Administration and Leadership","10.1177/1741143216653973","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031290225&doi=10.1177%2f1741143216653973&partnerID=40&md5=e0634c18f43c8b2d413d674826e48835","This article presents research undertaken with female headteachers in UK primary schools and explores several influential discourses in relation to female headteachers’ identities. It considers themes inherent in women’s narratives as they reflect upon their professional lives and discusses various identities inhabited by female leaders which emerge from the data. It also explores dominant discourses related to the masculine construction of leadership, women’s domestic responsibilities and women as enablers, which have a significant impact on women’s professional lives and upon the ways in which they are positioned. It notes that women’s narratives are shot through with ambiguity as they may inhabit several contradictory identities revealing qualities, characteristics and leadership styles which diverge from socially prescribed gender-appropriate behaviours. The article suggests that although there may appear to be a variety of identities from which women may select, there are limits to agency. It concludes that powerful discourses exist which constrain or facilitate ways of being, so impacting on leadership work and the professional lives of female headteachers. Consequently, the complex negotiations of women as they take up leadership roles in schools should be acknowledged. © 2016, © The Author(s) 2016.","discourse; Female headteachers; identity","Article","Scopus"
"Perry G.M.; Nixon C.J.","Perry, Gregory M. (7201545097); Nixon, Clair J. (7006650412)","7201545097; 7006650412","The influence of role models on negotiation ethics of college students","2005","Journal of Business Ethics","10.1007/s10551-005-8177-z","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28844461732&doi=10.1007%2fs10551-005-8177-z&partnerID=40&md5=d83056636321f50fc1b576ed8b6fa5e9","Role models can be highly influential in conveying ethical standards. This study investigates the influence various categories of role models have had on a population of over 1,600 undergraduate students in Texas, Oregon and Michigan. Those identifying clergy, boy scout leaders, friends and college advisors as role models exhibited less willingness to adopt questionable ethical behavior in negotation situations. Journalist and spouse role models tended to cause students to be more accepting of questionable behavior. Individuals with strong end-result and social contract ethical philosophies, as well as males and those who served in the military exhibited strong tendencies toward less than ethical behavior. Individuals with strong rule ethical philosophy, high levels of religiousity, and those with a cooperative attitude in negotiations tended to adopt higher ethical standards in negotiations. © Springer 2005.","Academic advisors; Actutilitarianism; Boy scouts; Clergy; Journalists; Military; Multivariate regression; Negotiation ethics; Religiousity; Role models; Social contract ethics","Article","Scopus"
"Konstantopoulos N.; Sakas D.; Triantafyllopoulos Y.","Konstantopoulos, Nikolaos (35076211500); Sakas, Damianos (10039939400); Triantafyllopoulos, Yiannis (35076764400)","35076211500; 10039939400; 35076764400","Lessons from a case study for Greek banking M&A negotiations","2009","Management Decision","10.1108/00251740910984550","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350278911&doi=10.1108%2f00251740910984550&partnerID=40&md5=d88a6eafe95246523756b53553da5c4a","Purpose - The purpose of this paper is to examine the factor ""Staff's beliefs, attitudes and social representations"" vis-à-vis the part it plays during the negotiation process in the effort of the two leaders of the Greek banking branch to merge. Design/methodology/approach - The codification is attempted by means of software, so as to clarify the trends for negotiations in win-win conditions. Data were collected by the negotiation process of two large banking companies. Findings - The paper concludes that the private or public character of each banking organization involved in the negotiation process of aiming at a merger will affect its strategic choices in relation to the role played by human beliefs and professional attitudes during the negotiations. Additionally, the research has pointed out some elements that are explained and justified by the existing circumstances in the particular banking area. The fear of change, the stress, the insecurity and the loss of morale are also pointed out as being significant factors. Originality/value - The paper is based on research of two different sectors - private and public - and how the employees of two organizations belonging to these sectors react and affect the result of the merger. © Emerald Group Publishing Limited.","Acquisitions and mergers; Banking; Greece; Human resource management; Negotiating","Article","Scopus"
"Nachtwey J.; Tessler M.","Nachtwey, Jodi (6507023902); Tessler, Mark (7005400285)","6507023902; 7005400285","The political economy of attitudes toward peace among Palestinians and Israelis","2002","Journal of Conflict Resolution","10.1177/0022002702046002005","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036101151&doi=10.1177%2f0022002702046002005&partnerID=40&md5=c5e4e9cac3ee8c1661e94976e99881a5","This study evaluates the degree to which economic evaluations help to explain attitudes toward peace among Palestinians and Israelis in the years following the 1993 Oslo accords. It first applies insights from political science and economics to the Israeli-Palestinian context, deriving hypotheses that are then tested using survey data from Israel and Palestine (West Bank and Gaza) collected between 1996 and 2001. Findings show that economic orientations have both a direct and indirect impact on attitudes toward negotiations and compromise. On one hand, economic evaluations are directly related to foreign policy attitudes through what appear to be cost-benefit calculations regarding the expected economic consequences of peace. Economic judgments also influence attitudes toward peace indirectly by contributing to levels of confidence in political leaders, which in turn influence the way that citizens assess the peace negotiations in which their leaders are engaged.","","Article","Scopus"
"Isaac C.A.","Isaac, Carol A. (8589254700)","8589254700","Women leaders: The social world of health care","2011","Journal of Health, Organisation and Management","10.1108/14777261111134400","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955931044&doi=10.1108%2f14777261111134400&partnerID=40&md5=86468bb3d39a64536e86948ba79d4a64","Purpose: The purpose of this paper is to illustrate a microcosm of the complexities that women face in a masculine environment. Design/methodology/approach: Ten women administrators were selected from one Southeastern University in the USA, using criterion sampling. The interviews of five women from male-dominated colleges (greater than 50 percent male faculty-MD) and five from female-dominated fields (FD) were analyzed. For further study, the texts of the four women from healthcare colleges were compared with the six from non-healthcare fields. Interviewees were asked questions about their background, leadership and power. Confidentiality was adhered to according to the university's IRB guidelines and policies. Findings: The social world of the healthcare Deans was evident and was shaped around a ""rigid hierarchy of authority and power"" that goes beyond gender and is stratified among health-related professions. Originality/value: This examination of the hierarchical discourse of power within the social world of healthcare gives valuable instruction for women's negotiation through adaptation. © Emerald Group Publishing Limited.","Health services; Leadership; Sexual discrimination; United States of America; Women","Article","Scopus"
"Skulmoski G.J.; Hartman F.T.","Skulmoski, Gregory J. (6508115556); Hartman, Francis T. (7006629056)","6508115556; 7006629056","Information systems project manager soft competencies: A project-phase investigation","2010","Project Management Journal","10.1002/pmj.20146","101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649563219&doi=10.1002%2fpmj.20146&partnerID=40&md5=cc4ffa5c998bcfaa95b59876d87f6dce","This article investigates the soft competencies by project phase that information systems (IS) project managers require for project success. The authors conducted 33 qualitative interviews to collect data from a sample of 22 IS project managers and business leaders located in Calgary, Alberta, Canada. The authors identified the key competencies for each of the IS project phases (initiation, planning, implementation, and close- out). The competencies were sorted into competency categories: personal attributes (e.g., eye for details), communication (e.g., effective questioning), leadership (e.g., create an effective project environment), negotiations (e.g., consensus building), professionalism (e.g., lifelong learning), social skills (e.g., charisma), and project management competencies (e.g., manage expectations). Each of the most important competencies is discussed and interconnections among competencies identified. How this research can be used by the practitioner and academic communities and the broader implications of this research are examined. © 2009 by the Project Management Institute.","Competence; Information systems; Project life cycle; Project manager; Skill","Article","Scopus"
"McKersie R.B.; Eaton S.C.; Kochan T.A.","McKersie, Robert B. (6603294535); Eaton, Susan C. (7102181884); Kochan, Thomas A. (6603929495)","6603294535; 7102181884; 6603929495","Kaiser permanente: Using interest-based negotiations to craft a new collective bargaining agreement","2004","Negotiation Journal","10.1111/j.1571-9979.2004.00003.x","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4444323141&doi=10.1111%2fj.1571-9979.2004.00003.x&partnerID=40&md5=754cfccfff2d56e8141c8081eea99f05","Building on a new labor-management partnership, Kaiser Permanente and its nearly seventy thousand union employees negotiated a five-year contract agreement in 2000 based on the principles of ""interest-based negotiations."" The people who made this remarkable achievement happen, as well as the historic background of the case, are described and analyzed. A key element to the success of this initiative was the back-and-forth work of many different groups, including joint labor-management committees, coalitions of unions, bargaining task groups focused on particular subject areas, and local and national leaders of the company and its unions. Using illustrative comments from actual participants in this complex, nearly year-long negotiation process, the authors explore how the parties crafted their agreement.","","Review","Scopus"
"Randall R.M.","Randall, Robert M. (15056623800)","15056623800","Agile at IBM: Software developers teach a new dance step to management","2014","Strategy and Leadership","10.1108/SL-01-2014-0003","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898732918&doi=10.1108%2fSL-01-2014-0003&partnerID=40&md5=7b0ccb1108fff26c6f6af6118c4a08a3","Purpose: Explains how companies that are seeking to implement rapid innovation can adopt the Agile software development approach. In Agile, self-organizing teams work in short cycles called ""sprints"" and develop the features to enable the product to continuously evolve in the light of the experience they gain and through customer feedback. Design/methodology/approach: For insight into how Agile is being implemented at a leading software services firm with clients in hundreds of industries, Strategy & Leadership asked Rob Purdie, Agile Practice Lead for the IBM Design Lab, how Agile software development methods were contributing to the success of IBM's key digital marketing initiatives. Findings: The traditional approach to software development is to define, design, develop and test everything - before delivering anything. With Agile, managers can reduce waste by prioritizing features based on relative business value, evaluating and re-designing as the project proceeds. Practical implications: Agile requires leaders and teams to work and learn through problems, designs and options in an open and transparent environment. It places new demands on technical leaders in terms of negotiation and planning skills. Originality/value: Managers outside the software industry should note that Agile/Scrum is likely to be increasingly essential to the future of product development and manufacturing. Nowadays many products for consumers and businesses include embedded software systems, so developing products in the future will require deeper collaboration across multiple engineering disciplines and marketing teams and familiarity with the Agile approach. © Emerald Group Publishing Limited.","Agile software development; Continuous innovation; IBM Design Lab; Product development; Scrum","Article","Scopus"
"Tomlinson E.C.; Polin B.; Gray B.; Barry B.","Tomlinson, Edward C. (8046409300); Polin, Beth (56458702400); Gray, Barbara (7202782596); Barry, Bruce (8746583100)","8046409300; 56458702400; 7202782596; 8746583100","Lessons Learned from Working with Roy J. Lewicki","2017","Negotiation and Conflict Management Research","10.1111/ncmr.12091","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018297851&doi=10.1111%2fncmr.12091&partnerID=40&md5=9286dc4b86bc50eca073e171ae7ee258","This article includes four essays in tribute to our colleague, Roy J. Lewicki, recipient of the International Association for Conflict Management 2013 Lifetime Achievement Award. Although he has made many contributions to the conflict and negotiation literature, we focus in particular on our experiences in collaborating with him on his research on leader influence on subordinate discretionary behavior, interpersonal trust, framing in environmental conflicts, and negotiation pedagogy. Each essay describes key lessons we learned from Roy. The end of the article features a closing commentary by Roy. © 2017 International Association for Conflict Management and Wiley Periodicals, Inc.","conflict; framing; negotiation; pedagogy; trust","Article","Scopus"
"Heide M.; Worthy B.","Heide, Marlen (57190009370); Worthy, Ben (23491124900)","57190009370; 23491124900","Secrecy and Leadership: The Case of Theresa May’s Brexit Negotiations","2019","Public Integrity","10.1080/10999922.2019.1609273","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073596002&doi=10.1080%2f10999922.2019.1609273&partnerID=40&md5=03deff9dae33beacd848b7cad4fdae38","Openness is essential for democratic leadership. It represents a moral commitment and an instrument for increasing trust and legitimacy. However, secrecy can still aid leaders by safeguarding their power and policies or preserving their reputation. This article examines Theresa May’s attempted use of secrecy around the UK–EU Brexit negotiations to protect her power, policy, and reputation between 2016 and 2019. While this approach appeared successful initially, over time, the counter-pressure for openness reversed its benefits. By the beginning of 2019, it was clear that May’s secrecy had limited her power, undermined her policy, and ultimately damaged her reputation. The analysis ends by drawing comparisons with Donald Trump, whose efforts to conceal his actions have produced the same counterproductive results. The case study illustrates how secrecy can create political space and bolster a leader’s reputation in the short term; however, over time, secret-keeping encourages leaks and greater scrutiny, exposes policies, and damages reputations, especially in increasingly transparent governance systems such as in the United States and the UK. Context is key, and secrecy surrounding high-profile, controversial issues, such as Brexit, is difficult to preserve. It can prove particularly damaging when it is tied to the leader’s reputation, as in May’s case. © 2019, © 2019 American Society for Public Administration.","Brexit; leadership; legitimacy; secrecy","Article","Scopus"
